token,token_lower,chapter_idx,count
a,a,0,65
a,a,1,5
a,a,2,8
abandonne,abandonne,0,2
abbé,abbé,0,1
abc,abc,0,1
abordée,abordée,2,1
absence,absence,0,3
absicht,absicht,1,1
accablé,accablé,0,1
accablé,accablé,2,1
accablées,accablées,0,1
accordera,accordera,0,1
ach,ach,1,1
adieu,adieu,0,5
adieux,adieux,0,1
admirable,admirable,0,1
admirateur,admirateur,0,1
adorable,adorable,0,1
adoration,adoration,2,1
adressé,adressé,0,1
affaire,affaire,0,1
affaires,affaires,0,2
affaires,affaires,2,2
affection,affection,0,1
affecté,affecté,0,1
agir,agir,0,1
agonie,agonie,0,1
agréable,agréable,0,1
agrément,agrément,1,1
ah,ah,0,20
ah,ah,2,2
ai,ai,0,20
ai,ai,1,1
ai,ai,2,3
aide,aide,0,1
aide,aide,1,2
aider,aider,0,1
aient,aient,0,1
aiguille,aiguille,0,1
aimable,aimable,0,2
aimais,aimais,0,1
aimante,aimante,0,1
aime,aime,0,1
aime,aime,2,3
aimez,aimez,0,1
aimé,aimé,0,1
aimée,aimée,2,1
ainsi,ainsi,2,1
air,air,0,1
airs,airs,0,1
aisé,aisé,0,1
ait,ait,0,1
ait,ait,1,1
alexander,alexander,1,1
aline,aline,2,1
alitée,alitée,0,1
aller,aller,0,2
allez,allez,0,2
allez,allez,2,3
alliance,alliance,1,2
allirte,allirte,1,1
allié,allié,0,1
alliés,alliés,1,1
allons,allons,0,5
allons,allons,1,1
alsbald,alsbald,1,1
altercation,altercation,0,3
ambassadeurs,ambassadeurs,0,1
ami,ami,0,12
ami,ami,1,1
ami,ami,2,2
amie,amie,0,10
amie,amie,2,1
amitié,amitié,0,2
amour,amour,0,5
amuse,amuse,0,2
amélie,amélie,2,2
an,an,1,1
an,an,2,1
anatole,anatole,0,1
ancienne,ancienne,1,1
andré,andré,0,18
anecdote,anecdote,0,1
ange,ange,0,1
angleterre,angleterre,0,1
angleterre,angleterre,1,1
angreifen,angreifen,1,1
annette,annette,0,8
annette,annette,2,4
annonce,annonce,0,1
annoncer,annoncer,2,1
années,années,0,1
ans,ans,0,2
antichambres,antichambres,0,1
antichrist,antichrist,0,1
apanages,apanages,0,1
apportez,apportez,0,1
apporté,apporté,0,1
apprentissage,apprentissage,0,1
approfondir,approfondir,0,1
approuver,approuver,0,1
apraksine,apraksine,0,5
apraksines,apraksines,0,1
après,après,0,1
après,après,2,1
apôtres,apôtres,0,1
archiduc,archiduc,1,1
armistice,armistice,1,2
armée,armée,0,3
armée,armée,1,5
arrangez,arrangez,0,1
arrive,arrive,2,1
arriver,arriver,0,1
arrivé,arrivé,0,1
arrivée,arrivée,0,1
arrivés,arrivés,2,1
arrêter,arrêter,2,1
arrêts,arrêts,1,1
arrêté,arrêté,0,1
art,art,0,1
artifice,artifice,0,1
artillerie,artillerie,1,1
as,as,1,1
assassinat,assassinat,0,2
assez,assez,0,3
assis,assis,0,1
assoupi,assoupi,0,1
atrocités,atrocités,0,1
attachant,attachant,0,1
attakiren,attakiren,2,1
atteindre,atteindre,0,2
attend,attend,0,1
attendait,attendait,0,1
attendez,attendez,0,2
attendez,attendez,1,1
attendez,attendez,2,1
attendiez,attendiez,0,1
attendre,attendre,2,1
attifée,attifée,0,1
au,au,0,12
au,au,1,3
au,au,2,4
auch,auch,1,2
aucun,aucun,0,2
aucune,aucune,2,1
auditoire,auditoire,0,1
auersperg,auersperg,1,1
auf,auf,1,2
auf,auf,2,1
augenblick,augenblick,1,1
aujourd,aujourd,0,1
aura,aura,0,1
aurait,aurait,0,3
aurez,aurez,0,1
ausgerüstet,ausgerüstet,1,1
aussi,aussi,0,1
ausweichen,ausweichen,2,1
autant,autant,0,1
autre,autre,0,1
autre,autre,1,1
autre,autre,2,1
autrement,autrement,0,2
autres,autres,0,4
autres,autres,1,1
autriche,autriche,0,1
autriche,autriche,1,1
autrichiens,autrichiens,1,1
aux,aux,0,3
aux,aux,1,2
auxquelles,auxquelles,0,1
auxquelles,auxquelles,2,1
avais,avais,0,1
avait,avait,1,2
avancement,avancement,0,1
avancer,avancer,2,1
avant,avant,0,5
avant,avant,1,1
avant,avant,2,2
avantage,avantage,0,1
avec,avec,0,8
avec,avec,1,1
avec,avec,2,1
avenir,avenir,2,1
avertir,avertir,0,1
avez,avez,0,11
avez,avez,1,2
avions,avions,0,1
avoir,avoir,0,3
avoir,avoir,2,1
avons,avons,0,1
avoue,avoue,0,2
avoue,avoue,1,1
avouer,avouer,0,1
avouerai,avouerai,0,1
avouez,avouez,1,2
ayant,ayant,0,1
ayez,ayez,0,1
azur,azur,0,1
bagage,bagage,1,1
baiser,baiser,2,1
bal,bal,0,1
balance,balance,0,1
baron,baron,0,2
bas,bas,0,1
basile,basile,0,7
basile,basile,2,1
bataillons,bataillons,2,1
bavardage,bavardage,0,1
beau,beau,0,8
beaucoup,beaucoup,0,1
beaux,beaux,0,1
beaux,beaux,1,1
beaux,beaux,2,1
bedeckten,bedeckten,2,1
befindlichen,befindlichen,2,1
beiden,beiden,1,1
bel,bel,1,1
bel,bel,2,1
belle,belle,0,4
belle,belle,2,2
bellowitz,bellowitz,2,1
berge,berge,2,1
berlin,berlin,1,1
besitze,besitze,2,1
besoin,besoin,0,1
besonders,besonders,2,1
bien,bien,0,20
bien,bien,1,1
bien,bien,2,6
bilibine,bilibine,1,1
bilieux,bilieux,2,1
blanche,blanche,0,1
bleiben,bleiben,1,1
bleu,bleu,0,1
bon,bon,0,3
bon,bon,1,1
bon,bon,2,7
bonaparte,bonaparte,0,1
bonaparte,bonaparte,1,1
bonapartiste,bonapartiste,0,1
bonheur,bonheur,0,2
bonheur,bonheur,2,2
bonjour,bonjour,0,2
bonne,bonne,0,5
bonne,bonne,2,6
bonnes,bonnes,0,1
bonsoir,bonsoir,0,1
bonté,bonté,0,1
boris,boris,0,3
bornons,bornons,0,1
bosse,bosse,0,1
bouche,bouche,0,1
bouche,bouche,1,1
boucles,boucles,0,1
bourbons,bourbons,0,1
bourienne,bourienne,0,12
bourienne,bourienne,2,52
brave,brave,0,1
brave,brave,2,2
brillant,brillant,2,1
brin,brin,2,1
bruits,bruits,0,1
brumaire,brumaire,1,1
brûler,brûler,0,1
brûlé,brûlé,0,1
brünn,brünn,1,1
buonaparte,buonaparte,0,4
buonaparte,buonaparte,1,2
bâtard,bâtard,0,2
bâton,bâton,0,1
bêtise,bêtise,1,2
bösewicht,bösewicht,1,1
cabinet,cabinet,0,1
cabinet,cabinet,1,1
caché,caché,1,1
cachée,cachée,0,1
caillou,caillou,1,1
calme,calme,0,3
camp,camp,0,1
camp,camp,1,1
campagne,campagne,0,2
campagne,campagne,1,1
campo,campo,1,1
camps,camps,1,1
canapé,canapé,0,2
capital,capital,0,1
capitulation,capitulation,1,1
caporal,caporal,2,1
caquet,caquet,0,1
car,car,0,1
caractère,caractère,0,1
catiche,catiche,0,2
cause,cause,0,2
causons,causons,0,1
caustique,caustique,0,1
causé,causé,0,1
ce,ce,0,33
ce,ce,1,6
ce,ce,2,16
cela,cela,0,10
cela,cela,1,2
cela,cela,2,1
celles,celles,2,1
celui,celui,0,1
celui,celui,1,2
centre,centre,0,1
cependant,cependant,0,1
cependant,cependant,1,2
certaine,certaine,0,1
certaines,certaines,0,2
ces,ces,0,9
ces,ces,2,2
cet,cet,0,7
cet,cet,1,1
cet,cet,2,1
cette,cette,0,13
cette,cette,1,4
cette,cette,2,1
ceux,ceux,0,2
chagrin,chagrin,0,1
chambre,chambre,0,2
chameau,chameau,0,1
champ,champ,1,1
champêtres,champêtres,0,1
chances,chances,0,1
changements,changements,0,1
changerez,changerez,2,1
changez,changez,2,2
changé107,changé107,0,1
chante,chante,1,1
charitable,charitable,2,1
charité,charité,2,1
charmant,charmant,0,4
charmant,charmant,1,2
charmant,charmant,2,2
charmante,charmante,0,3
charme265,charme265,1,1
charmée,charmée,0,2
charnelle,charnelle,0,1
chef,chef,2,1
chemin,chemin,0,1
cher,cher,0,18
cher,cher,1,4
cher,cher,2,7
cher118,cher118,0,1
cher283,cher283,1,1
cher305православное,cher305православное,1,1
chercher,chercher,0,1
cherchons,cherchons,0,3
chers,chers,0,1
cheval,cheval,0,1
cheval,cheval,2,1
cheval371,cheval371,2,1
chez,chez,0,9
chez,chez,2,3
chi,chi,0,1
chien,chien,1,1
chien,chien,2,1
choix,choix,0,1
chose,chose,0,6
chose,chose,2,4
choses,choses,0,3
chronique,chronique,0,1
chrétien,chrétien,0,2
chrétienne,chrétienne,0,1
chère,chère,0,37
chère,chère,2,7
chères,chères,0,1
ciel,ciel,0,1
cieux,cieux,2,1
citadins,citadins,0,1
clair,clair,0,1
coeur,coeur,0,6
coeur,coeur,2,2
coeurs,coeurs,0,1
coiffure,coiffure,2,2
coin,coin,2,1
colportaient,colportaient,1,1
combien,combien,0,1
commandez,commandez,1,1
comme,comme,0,22
comme,comme,1,8
comme,comme,2,4
commencent,commencent,0,1
commencer,commencer,0,1
comment,comment,0,7
comment,comment,1,1
compagne,compagne,1,1
compagnie,compagnie,0,1
compagnie,compagnie,2,2
complimenter,complimenter,0,1
compliments,compliments,0,1
complètement,complètement,0,1
comprendre,comprendre,0,2
comprendrez,comprendrez,2,1
