source,source_lower,target,target_lower,weight,context_level,chapters,num_chapters
Наташа,наташ,Соней,сон,56,sentence,"0,9,12,14,49,52,58,61,68,69,70,71,77,79,80,86,87,89,92",19
Андрей,андр,Пьеру,пьер,46,sentence,"25,26,27,28,38,51,56,57,58,86,90,92,93",13
Денисов,денис,Николай Ростов,рост,26,sentence,"0,2,3,15,29,30,31,32,33,34,61",11
Андрея,андре,Наташа,наташ,25,sentence,"37,50,51,52,54,56,57,58,67,68,69,70,71,72,77,78,79,81,84,92",20
Марьи Дмитриевны,дмитриевн,Наташа,наташ,23,sentence,"77,78,83,85,86,89,90",7
Андрей,андр,Наташа,наташ,20,sentence,"51,52,54,56,57,58,92",7
Петербурге,петербург,Пьеру,пьер,17,sentence,"5,15,16,17,19,20,24,25,36,42,46,55,58,92",14
Наташа,наташ,Николай,николай,16,sentence,"0,11,14,61,63,66,67,68,69,70",10
Долохов,долох,Николай Ростов,рост,14,sentence,"2,3,4,9,12,13",6
Андрея,андре,Пьеру,пьер,14,sentence,"25,26,36,57,75,90,92",7
Николай,николай,Соней,сон,13,sentence,"0,10,12,14,61,68,69,71",8
Николая,никола,Соней,сон,12,sentence,"10,11,68,69,70,71",6
Андрей,андр,Сперанского,сперанского,12,sentence,"40,41,53,92",4
Bourienne,bourienne,Марья,марь,11,sentence,"22,59,73,78,92",5
Марья,марь,Пьеру,пьер,11,sentence,"27,28,75,92",4
Наташа,наташ,Пьеру,пьер,11,sentence,"51,56,57,80,83,90,92,93",8
Наташа,наташ,Петя,пет,10,sentence,"0,12,63,64,66,67",6
Долохов,долох,Пьеру,пьер,10,sentence,"1,3,4,9,10,17",6
Денисов,денис,Наташа,наташ,9,sentence,"0,10,11,15,61",5
Москвы,москв,Петербурге,петербург,9,sentence,"5,20,46,55,59,75,76,82",8
Андрей,андр,Марья,марь,9,sentence,"8,22,25,27,59,73,92",7
Борису,борис,Жюли,жюл,9,sentence,"76,79",2
Москвы,москв,Николай Ростов,рост,8,sentence,"0,1,4,15",4
Наташа,наташ,Ростовых,ростовых,8,sentence,"10,20,47,58,78,80,90",7
Prusse,prusse,Le Roi,roi,8,sentence,"21,23",2
