token,count,rank,per_1k
его,1089,1,12.7757
было,658,2,7.7194
сказал,575,3,6.7457
ее,552,4,6.4758
ему,545,5,6.3937
а,518,6,6.077
чтò,505,7,5.9244
наташа,447,8,5.244
был,430,9,5.0446
от,408,10,4.7865
пьер,406,11,4.763
только,404,12,4.7396
князь,401,13,4.7044
еще,329,14,3.8597
для,310,15,3.6368
андрей,298,16,3.496
мне,287,17,3.367
сказала,276,18,3.2379
была,265,19,3.1089
него,250,20,2.9329
ей,246,21,2.886
себя,245,22,2.8742
теперь,233,23,2.7335
были,228,24,2.6748
быть,222,25,2.6044
ни,220,26,2.5809
ростов,205,27,2.405
меня,205,28,2.405
того,197,29,2.3111
николай,195,30,2.2877
опять,187,31,2.1938
после,184,32,2.1586
себе,183,33,2.1469
чтобы,183,34,2.1469
ней,180,35,2.1117
время,179,36,2.1
уже,177,37,2.0765
говорил,174,38,2.0413
граф,174,39,2.0413
ничего,172,40,2.0178
марья,171,41,2.0061
их,163,42,1.9122
раз,160,43,1.8771
во,157,44,1.8419
до,156,45,1.8301
соня,155,46,1.8184
который,153,47,1.7949
которые,152,48,1.7832
чем,152,49,1.7832
или,151,50,1.7715
ежели,144,51,1.6893
своего,140,52,1.6424
ним,139,53,1.6307
надо,136,54,1.5955
князя,136,55,1.5955
тем,134,56,1.572
лицо,133,57,1.5603
княжна,133,58,1.5603
нее,132,59,1.5486
всех,124,60,1.4547
будто,123,61,1.443
глаза,123,62,1.443
потому,123,63,1.443
мой,121,64,1.4195
может,121,65,1.4195
de,120,66,1.4078
своей,119,67,1.3961
дело,116,68,1.3609
свою,114,69,1.3374
со,113,70,1.3257
вдруг,112,71,1.3139
перед,112,72,1.3139
про,112,73,1.3139
будет,110,74,1.2905
пьера,110,75,1.2905
графиня,106,76,1.2435
под,105,77,1.2318
есть,104,78,1.2201
более,101,79,1.1849
этом,101,80,1.1849
день,101,81,1.1849
денисов,100,82,1.1732
мог,100,83,1.1732
один,100,84,1.1732
долохов,100,85,1.1732
нему,99,86,1.1614
жизни,99,87,1.1614
андрея,99,88,1.1614
руку,98,89,1.1497
говорила,98,90,1.1497
человек,97,91,1.138
без,95,92,1.1145
несколько,94,93,1.1028
спросил,92,94,1.0793
которая,92,95,1.0793
анатоль,91,96,1.0676
через,90,97,1.0558
всегда,90,98,1.0558
которого,90,99,1.0558
которое,89,100,1.0441
хорошо,88,101,1.0324
никогда,88,102,1.0324
своим,88,103,1.0324
им,88,104,1.0324
нибудь,87,105,1.0206
между,87,106,1.0206
думал,86,107,1.0089
чтоб,86,108,1.0089
говорить,86,109,1.0089
стал,86,110,1.0089
знаю,85,111,0.9972
другой,83,112,0.9737
глазами,83,113,0.9737
чтó,83,114,0.9737
глядя,82,115,0.962
руки,82,116,0.962
тебе,82,117,0.962
голос,81,118,0.9503
прежде,81,119,0.9503
отца,81,120,0.9503
своих,80,121,0.9385
людей,80,122,0.9385
казалось,79,123,0.9268
знал,79,124,0.9268
эту,79,125,0.9268
улыбкой,79,126,0.9268
них,78,127,0.9151
минуту,78,128,0.9151
свое,78,129,0.9151
нем,77,130,0.9033
даже,76,131,0.8916
le,76,132,0.8916
жизнь,76,133,0.8916
тому,75,134,0.8799
всем,73,135,0.8564
сказать,73,136,0.8564
ростова,72,137,0.8447
ведь,72,138,0.8447
голову,72,139,0.8447
над,72,140,0.8447
старый,72,141,0.8447
больше,72,142,0.8447
тоже,71,143,0.8329
которой,70,144,0.8212
видел,70,145,0.8212
комнаты,70,146,0.8212
ах,70,147,0.8212
борис,70,148,0.8212
друг,69,149,0.8095
слова,69,150,0.8095
ростовых,69,151,0.8095
нужно,69,152,0.8095
ж,68,153,0.7977
москве,67,154,0.786
могла,67,155,0.786
наташи,67,156,0.786
два,67,157,0.786
графа,66,158,0.7743
хотел,66,159,0.7743
пьеру,66,160,0.7743
которых,65,161,0.7626
чего,65,162,0.7626
свой,65,163,0.7626
тогда,65,164,0.7626
долго,65,165,0.7626
особенно,64,166,0.7508
разговор,64,167,0.7508
вместе,64,168,0.7508
человека,64,169,0.7508
наташе,64,170,0.7508
приехал,63,171,0.7391
котором,63,172,0.7391
дома,62,173,0.7274
отвечал,62,174,0.7274
много,62,175,0.7274
должен,62,176,0.7274
элен,62,177,0.7274
наташу,62,178,0.7274
уж,61,179,0.7156
вышел,61,180,0.7156
нельзя,61,181,0.7156
всего,61,182,0.7156
совсем,60,183,0.7039
этой,60,184,0.7039
могу,60,185,0.7039
est,60,186,0.7039
свои,59,187,0.6922
лица,59,188,0.6922
там,59,189,0.6922
князю,59,190,0.6922
государь,59,191,0.6922
говорили,58,192,0.6804
чувство,58,193,0.6804
которую,57,194,0.6687
тут,56,195,0.657
кроме,56,196,0.657
письмо,56,197,0.657
et,56,198,0.657
дмитриевна,56,199,0.657
назад,55,200,0.6452
отец,55,201,0.6452
давно,55,202,0.6452
тех,54,203,0.6335
сделал,54,204,0.6335
думала,54,205,0.6335
la,54,206,0.6335
вперед,53,207,0.6218
дверь,53,208,0.6218
одно,53,209,0.6218
люди,53,210,0.6218
улыбаясь,53,211,0.6218
денисова,53,212,0.6218
своею,53,213,0.6218
сделать,53,214,0.6218
смотрел,53,215,0.6218
своем,53,216,0.6218
несмотря,52,217,0.61
совершенно,52,218,0.61
вошел,52,219,0.61
времени,52,220,0.61
андреич,52,221,0.61
долохова,52,222,0.61
люблю,52,223,0.61
доме,51,224,0.5983
пошел,51,225,0.5983
которым,51,226,0.5983
дядюшка,51,227,0.5983
подошел,50,228,0.5866
своему,50,229,0.5866
ехать,49,230,0.5748
двери,49,231,0.5748
тебя,49,232,0.5748
этих,49,233,0.5748
три,48,234,0.5631
стоял,48,235,0.5631
дела,48,236,0.5631
кого,48,237,0.5631
комнату,48,238,0.5631
комнате,48,239,0.5631
любви,48,240,0.5631
очевидно,48,241,0.5631
хотя,48,242,0.5631
первый,47,243,0.5514
почти,47,244,0.5514
тотчас,46,245,0.5397
сына,46,246,0.5397
видеть,46,247,0.5397
куда,46,248,0.5397
ту,46,249,0.5397
стала,46,250,0.5397
подумал,45,251,0.5279
лучше,45,252,0.5279
андрею,45,253,0.5279
года,44,254,0.5162
всю,44,255,0.5162
этим,43,256,0.5045
матери,43,257,0.5045
ко,43,258,0.5045
какой,42,259,0.4927
чувствовал,42,260,0.4927
илья,42,261,0.4927
никто,42,262,0.4927
нас,41,263,0.481
увидал,41,264,0.481
одна,41,265,0.481
друга,41,266,0.481
две,41,267,0.481
душе,41,268,0.481
видимо,41,269,0.481
можно,41,270,0.481
одной,41,271,0.481
моя,41,272,0.481
сидел,40,273,0.4693
ваше,40,274,0.4693
стало,40,275,0.4693
жюли,40,276,0.4693
собой,39,277,0.4575
мать,39,278,0.4575
таким,39,279,0.4575
часто,39,280,0.4575
