name,name_lower,chapter_idx,count
Achtung,achtung,52,1
Adieu,adieu,7,1
Adieu,adieu,99,1
Admirable,admirable,53,1
Alexandre,alexandre,2,1
Alexandre,alexandre,5,1
Alexandre,alexandre,34,1
Allemagne,allemagne,94,1
Andr,andr,7,3
Andr,andr,38,1
Asie,asie,1,1
Auch,auch,10,1
Aussit,aussit,45,1
Autrichiens,autrichiens,65,1
Bah,bah,94,1
Balachoff,balachoff,3,1
Bassano,bassano,2,1
Bavarois,bavarois,65,1
Beauch,beauch,1,1
Beausset,beausset,53,3
Beausset,beausset,62,2
Belges,belges,65,1
Berlin,berlin,94,1
Bilibine,bilibine,73,1
Bonaparte,bonaparte,94,1
Bonjour,bonjour,93,1
Bourienne,bourienne,7,6
Bourienne,bourienne,29,7
Bourienne,bourienne,35,1
Bourienne,bourienne,37,13
Br,br,65,1
Brigand,brigand,93,1
Cachemire,cachemire,1,1
Catiche,catiche,44,1
Charm,charm,93,1
Charmant,charmant,94,1
Charon,charon,44,1
Contrat,contrat,26,1
Cosaques,cosaques,1,2
Cour,cour,73,1
Cygne,cygne,43,1
Czars,czars,85,2
Georges Dandin,dandin,99,1
Dieu,dieu,1,1
Dieu,dieu,7,1
Dieu,dieu,34,1
Dieu,dieu,72,2
Dieu,dieu,73,1
Dieu,dieu,94,2
Disposez,disposez,94,1
Don,don,34,1
Drissa,drissa,10,2
Dummkopf,dummkopf,9,1
Dusch,dusch,94,1
Ecoutez,ecoutez,73,1
Eh,eh,3,2
Eh,eh,6,1
Eh,eh,33,1
Eh,eh,34,1
Eh,eh,52,1
Eh,eh,57,1
Eh,eh,62,1
Eh,eh,70,1
Eh,eh,72,1
Eh,eh,73,1
Eh,eh,77,1
Eh,eh,93,1
Eh,eh,94,6
Eh,eh,98,1
Eingenommenheit,eingenommenheit,63,1
Emmenez,emmenez,99,1
Empereurs,empereurs,3,1
Enlevez,enlevez,91,2
Entendons,entendons,72,1
Epousez,epousez,72,1
Espagnols,espagnols,65,1
Etablissement,etablissement,85,1
Europe,europe,65,1
Exellenz,exellenz,10,1
Fabvier,fabvier,53,3
Feind,feind,52,1
Fran,fran,34,1
Fran,fran,65,1
Fran,fran,91,1
Fran,fran,93,1
Fran,fran,94,2
France,france,62,1
France,france,65,2
France,france,94,2
Genlis,genlis,43,1
Geschichte,geschichte,9,2
Grunde,grunde,9,1
Gygne,gygne,43,1
Hambourg,hambourg,65,1
Herr,herr,63,1
Italienischen Herrn,herrn,10,1
Italienischen Herrn,herrn,63,2
Hollandais,hollandais,65,1
Ideville,ideville,34,2
Ideville,ideville,85,1
Indes,indes,1,1
Italiens,italiens,65,1
Jobert,jobert,72,2
Joconde,joconde,33,1
Kalisch,kalisch,65,1
Kinderspiel,kinderspiel,10,1
Kourakine,kourakine,2,1
Koutousoff,koutousoff,45,1
Koutouzoff,koutouzoff,33,1
Koutouzoff,koutouzoff,57,1
Kremlin,kremlin,91,2
Krieg,krieg,9,1
Lauriston,lauriston,2,1
Lelorme,lelorme,34,2
Lelorme,lelorme,85,1
Leppich,leppich,45,2
Lequel,lequel,73,1
Madrid,madrid,94,1
Marchons,marchons,99,1
Marie,marie,7,1
Marie,marie,37,2
Mecklembourgeois,mecklembourgeois,65,1
Merci,merci,94,1
Monseigneur,monseigneur,72,2
Morel,morel,94,2
Moscou,moscou,1,2
Moscou,moscou,6,4
Moscou,moscou,34,2
Moscou,moscou,44,2
Moscou,moscou,53,1
Moscou,moscou,65,3
Moscou,moscou,85,2
Moscou,moscou,86,1
Moscou,moscou,89,1
Moscou,moscou,94,4
Bordeau Moscovite,moscovite,94,1
Moskowa,moskowa,53,1
Moskowa,moskowa,94,1
Naples,naples,3,1
Naples,naples,62,1
Naples,naples,94,2
Napol,napol,23,2
Napol,napol,34,3
Napolitains,napolitains,65,1
Nicolas,nicolas,16,1
Nicolas,nicolas,24,1
Nicolas,nicolas,78,2
Nun,nun,10,1
Oder,oder,65,1
Oldenbourg,oldenbourg,0,1
Onterkoff,onterkoff,94,1
Orient,orient,34,1
Parfait,parfait,94,1
Paris,paris,53,1
Paris,paris,65,1
Paris,paris,94,10
Parisien,parisien,94,1
Parisienne,parisienne,94,1
Parlez,parlez,99,2
Personen,personen,52,1
Pi,pi,65,1
Platow,platow,34,1
Polonais,polonais,65,1
Poltawa,poltawa,6,1
Potier,potier,94,1
Preis,preis,52,1
Privat,privat,52,1
Prussiens,prussiens,65,1
Quant,quant,10,2
Quelle,quelle,94,2
Ramball,ramball,93,1
Ramball,ramball,94,1
Rapp,rapp,57,3
Rastopchine,rastopchine,91,2
Raum,raum,52,2
Raum,raum,63,1
Recommandez,recommandez,45,1
Rentrez,rentrez,44,1
Rhin,rhin,65,1
Romain,romain,99,1
Romains,romains,65,1
Rome,rome,6,1
Rome,rome,53,2
Rome,rome,94,1
Russes,russes,65,1
