chapter_idx,title,total_score,avg_score,sentiment_words,positive_count,negative_count,neutral_count,sentiment_label
0,Глава 1,3.0,1.0,3,3,0,0,positive
1,Глава 2,1.0,0.25,4,2,2,0,positive
2,Глава 3,-2.0,-2.0,1,0,1,0,negative
3,Глава 4,-1.0,-0.1667,6,3,3,0,negative
4,Глава 5,5.0,1.25,4,4,0,0,positive
5,Глава 6,4.0,1.0,4,3,1,0,positive
6,Глава 7,10.0,0.625,16,11,5,0,positive
7,Глава 8,-4.0,-0.6667,6,2,4,0,negative
8,Глава 9,1.0,1.0,1,1,0,0,positive
9,Глава 10,0.0,0,0,0,0,0,neutral
10,Глава 11,-1.0,-0.2,5,3,2,0,negative
11,Глава 12,3.0,0.3333,9,6,3,0,positive
12,Глава 13,3.0,1.0,3,3,0,0,positive
13,Глава 14,5.0,0.8333,6,4,2,0,positive
14,Глава 15,2.0,0.5,4,3,1,0,positive
15,Глава 16,0.0,0.0,33,16,17,0,neutral
16,Глава 17,0.0,0,0,0,0,0,neutral
17,Глава 18,4.0,1.3333,3,3,0,0,positive
18,Глава 19,0.0,0,0,0,0,0,neutral
19,Глава 20,3.0,1.0,3,3,0,0,positive
20,Глава 21,-3.0,-1.0,3,1,2,0,negative
21,Глава 22,0.0,0,0,0,0,0,neutral
22,Глава 23,1.0,1.0,1,1,0,0,positive
23,Глава 24,0.0,0,0,0,0,0,neutral
24,Глава 25,-1.0,-0.3333,3,1,2,0,negative
25,Глава 26,0.0,0.0,2,1,1,0,neutral
26,Глава 27,3.0,1.0,3,3,0,0,positive
27,Глава 28,-2.0,-0.6667,3,1,2,0,negative
28,Глава 29,-6.0,-1.5,4,0,4,0,negative
29,Глава 30,2.0,1.0,2,2,0,0,positive
30,Глава 31,0.0,0,0,0,0,0,neutral
31,Глава 32,3.0,1.0,3,3,0,0,positive
32,Глава 33,-1.0,-0.5,2,1,1,0,negative
33,Глава 34,0.0,0,0,0,0,0,neutral
34,Глава 35,0.0,0,0,0,0,0,neutral
35,Глава 36,-4.0,-0.6667,6,2,4,0,negative
36,Глава 37,-4.0,-2.0,2,0,2,0,negative
37,Глава 38,1.0,1.0,1,1,0,0,positive
38,Глава 39,-6.0,-2.0,3,0,3,0,negative
39,Глава 40,2.0,1.0,2,2,0,0,positive
40,Глава 41,0.0,0,0,0,0,0,neutral
41,Глава 42,1.0,0.3333,3,2,1,0,positive
42,Глава 43,6.0,1.5,4,4,0,0,positive
43,Глава 44,4.0,1.3333,3,3,0,0,positive
44,Глава 45,3.0,0.4286,7,5,2,0,positive
45,Глава 46,8.0,1.6,5,5,0,0,positive
46,Глава 47,0.0,0.0,2,1,1,0,neutral
47,Глава 48,-1.0,-0.3333,3,1,2,0,negative
48,Глава 49,4.0,1.3333,3,3,0,0,positive
49,Глава 50,1.0,1.0,1,1,0,0,positive
50,Глава 51,6.0,2.0,3,3,0,0,positive
