name,name_lower,occurrences,first_offset,chapters,num_chapters,context_sample
Чтò,чтò,99,4527,,0,
Bourienne,bourienne,64,195937,,0,
Несвицкий,несвицкий,46,263070,,0,
Je,je,41,707,,0,
Билибин,билибин,32,348707,,0,
Чтó,чтó,29,142186,,0,
Долгоруков,долгоруков,26,586481,,0,
Василья,василья,25,29094,,0,
Жерков,жерков,25,272142,,0,
Vous,vous,23,2870,,0,
André,andré,18,26982,,0,
Mais,mais,17,6994,,0,
Вейротер,вейротер,17,382389,,0,
Телянин,телянин,16,292392,,0,
Багратиону,багратиону,16,328612,,0,
Non,non,15,367,,0,
Билибина,билибина,15,348647,,0,
Les,les,14,34273,,0,
Mon,mon,14,56122,,0,
Marie,marie,14,205169,,0,
Вейротера,вейротера,14,585103,,0,
Et,et,13,26874,,0,
Шиншин,шиншин,13,127639,,0,
Ауэрсперг,ауэрсперг,13,356320,,0,
Annette,annette,12,1397,,0,
Богданыч,богданыч,12,304114,,0,
Ланжерон,ланжерон,12,616954,,0,
Lise,lise,11,10083,,0,
Михайловной,михайловной,11,97390,,0,
Михайловну,михайловну,11,108170,,0,
Телянина,телянина,11,293690,,0,
Милорадович,милорадович,11,611292,,0,
On,on,10,2973,,0,
La,la,10,9989,,0,
Ma,ma,10,12170,,0,
Le,le,10,19629,,0,
Жеркова,жеркова,10,284617,,0,
Болконскому,болконскому,10,362076,,0,
Тимохин,тимохин,9,263886,,0,
Анною Михайловной,анною михайловной,5,109298,,0,"есь, в Москве, пред покровительствуемою Анною Михайловной еще гораздо бòльшую важность, чем в Петербурге, на вечере у Annette Шерер."
Pierre,pierre,8,15493,,0,
Basile,basile,8,32936,,0,
Ольмюц,ольмюц,8,374313,,0,
Ольмюца,ольмюца,8,493653,,0,
Ce,ce,7,10791,,0,
Tout,tout,7,204452,,0,
Бурьен,бурьен,7,219320,,0,
Несвицкого,несвицкого,7,284424,,0,
Грачик,грачик,7,292980,,0,
Eh,eh,6,258,,0,
Buonaparte,buonaparte,6,355,,0,
Russie,russie,6,34386,,0,
Мортье,мортье,6,340425,,0,
Empereur,empereur,6,362504,,0,
Багратионом,багратионом,6,382363,,0,
Долгорукову,долгорукову,6,586672,,0,
Вишау,вишау,6,594977,,0,
Репнин,репнин,6,694642,,0,
Владимировича Безухова,владимировича безухова,3,79526,,0,"-- И это сын
графа Кирилла Владимировича Безухова так умно забавляется! -- прибавила
она."
Voilà,voilà,5,9716,,0,
Pétersbourg,pétersbourg,5,11338,,0,
Quelle,quelle,5,14377,,0,
Moscou,moscou,5,42595,,0,
Apraksine,apraksine,5,77327,,0,
Павлоградского,павлоградского,5,88486,,0,
Анною,анною,5,109298,,0,
Adieu,adieu,5,122030,,0,
Nicolas,nicolas,5,205023,,0,
Буонапарте,буонапарте,5,229753,,0,
Энса,энса,5,308987,,0,
Брюнн,брюнн,5,341995,,0,
Цнайма,цнайма,5,387705,,0,
Алпатыч,алпатыч,5,502834,,0,
Вейротеру,вейротеру,5,588404,,0,
Si,si,4,1178,,0,
