source,source_lower,target,target_lower,weight,context_level,chapters,num_chapters
Анна Павловна,анн павловн,Пьера,пьер,15,sentence,"1,2,3,45,46",5
Василий,василий,Пьера,пьер,15,sentence,"2,6,16,18,45,46,63",7
Анна Михайловна,анн михайловн,Пьера,пьер,15,sentence,"17,18,19",3
Bourienne,bourienne,Марьей,марь,13,sentence,"20,23,47,48,49",5
Пьера,пьер,Элен,элен,13,sentence,"45,46",2
Наташа,наташ,Соня,сон,10,sentence,"8,15,44,50",4
Андрей,андр,Кутузова,кутуз,9,sentence,"26,36,38,55,56,59,60",7
Москве,москв,Петербурга,петербург,8,sentence,"4,6,9,10,11,13,45",7
Безухова,безух,Пьера,пьер,8,sentence,"6,16,17,18,45",5
Денисова,денис,Ростов,рост,8,sentence,"27,31,54",3
Василью,василь,Пьера,пьер,7,sentence,"3,17,46",3
Андрей,андр,Андрея,андре,7,sentence,"5,21,26,53,55",5
Андрей,андр,Борисе,борис,7,sentence,"51,53",2
Борисе,борис,Наташа,наташ,6,sentence,"8,9,13",3
Вера,вер,Наташа,наташ,6,sentence,"9,13,50",3
Ростов,рост,Чт,чт,6,sentence,"44,57,61",3
Bourienne,bourienne,Анатоля,анатол,6,sentence,"48,49",2
Андрей,андр,Пьера,пьер,5,sentence,"2,5,21,45",4
Наташа,наташ,Пьера,пьер,5,sentence,"13,14,15",3
Кутузова,кутуз,Фердинанда,фердинанд,5,sentence,"24,26,33",3
Князь Андрей,князь андр,Кутузова,кутуз,5,sentence,"26,36,55,60",4
Ростов,рост,Телянин,телян,5,sentence,"27,31",2
Ростов,рост,Ростовой,ростов,5,sentence,"28,52,54,62",4
Билибина,билиб,Болконский,болконский,5,sentence,"34,35,36",3
Багратиону,багратион,Кутузова,кутуз,5,sentence,"37,38,44",3
Наташа,наташ,Петя,пет,5,sentence,50,1
Борисе,борис,Ростов,рост,5,sentence,51,1
Борисе,борис,Долгоруков,долгорук,5,sentence,53,1
Вейротером,вейротер,Ланжерон,ланжерон,5,sentence,56,1
Василия,васили,Элен,элен,4,sentence,"1,2,45",3
Безухова,безух,Москве,москв,4,sentence,"1,6,45,63",4
Князь Андрей,князь андр,Пьера,пьер,4,sentence,"2,3,4",3
Ну,ну,Пьера,пьер,4,sentence,"4,5,46",3
Lise,lise,Андрей,андр,4,sentence,5,1
Петербурга,петербург,Пьера,пьер,4,sentence,"6,18,45",3
Василия,васили,Пьера,пьер,4,sentence,"6,18,19,63",4
Василий,василий,Петербурга,петербург,4,sentence,"6,10,45,63",4
Борисе,борис,Соня,сон,4,sentence,"7,8,50",3
Бергом,берг,Борисе,борис,4,sentence,"13,53,61",3
Андрей,андр,Ну,ну,4,sentence,"23,43,56",3
Кутузова,кутуз,Мака,мак,4,sentence,"24,26,33,37",4
Кутузова,кутуз,России,росси,4,sentence,"24,37",2
Кремсе,кремс,Кутузова,кутуз,4,sentence,"32,35,37",3
Андрея,андре,Багратиону,багратион,4,sentence,"36,38,43,44",4
Пьера,пьер,Сергею Кузьмичу,серге кузьмич,4,sentence,46,1
Андрея,андре,Борисе,борис,4,sentence,53,1
Андрея,андре,Долгоруков,долгорук,4,sentence,"53,55",2
Багратиону,багратион,Долгоруков,долгорук,4,sentence,"54,57,61",3
Вейротером,вейротер,Кутузова,кутуз,4,sentence,56,1
Анна Павловна,анн павловн,Василий,василий,3,sentence,"1,2,46",3
Анна Павловна,анн павловн,Василью,василь,3,sentence,"3,45,46",3
Андрей,андр,Наполеон,наполеон,3,sentence,"3,63",2
Андрея,андре,Пьера,пьер,3,sentence,"4,5",2
Анатоль,анатоль,Пьера,пьер,3,sentence,"5,45",2
Анатоль,анатоль,Долохова,долох,3,sentence,"5,45",2
Анна Павловна Шерер,анн павловн шерер,Пьера,пьер,3,sentence,"6,45,46",3
Борисе,борис,Николай,николай,3,sentence,"7,51",2
Николай,николай,Соня,сон,3,sentence,"7,8",2
Наташа,наташ,Николая,никола,3,sentence,"8,9,15",3
Борисе,борис,Вера,вер,3,sentence,"9,13",2
Василий,василий,Москве,москв,3,sentence,"10,45",2
Борисе,борис,Ростовой,ростов,3,sentence,"10,51,61",3
Анна Михайловна,анн михайловн,Безухова,безух,3,sentence,"10,12,17",3
Борисе,борис,Пьера,пьер,3,sentence,"10,11,13",3
Анною Михайловной,анно михайловн,Пьера,пьер,3,sentence,17,1
Bourienne,bourienne,Лысых Горах,лысых горах,3,sentence,"20,47,48",3
Мака,мак,Фердинанда,фердинанд,3,sentence,"24,26,33",3
Вену,вен,России,росси,3,sentence,"24,32,37",3
Вену,вен,Кутузова,кутуз,3,sentence,"24,37",2
Долохова,долох,Жерков,жерк,3,sentence,25,1
Андрея,андре,Кутузова,кутуз,3,sentence,"26,36",2
Жерков,жерк,Несвицкого,несвицкого,3,sentence,"26,31",2
Несвицкий,несвицкий,Ну,ну,3,sentence,"26,31,36",3
Денисова,денис,Чт,чт,3,sentence,"27,28,31",3
Денисова,денис,Телянин,телян,3,sentence,"27,31,44",3
