chapter_idx,title,total_score,avg_score,sentiment_words,positive_count,negative_count,neutral_count,sentiment_label
0,I.,4.0,0.8,5,4,1,0,positive
1,II.,-4.0,-1.0,4,0,4,0,negative
2,III.,4.0,0.6667,6,5,1,0,positive
3,IV.,5.0,0.625,8,6,2,0,positive
4,V.,3.0,0.4286,7,5,2,0,positive
5,VI.,11.0,0.7857,14,12,2,0,positive
6,VII.,2.0,0.2857,7,5,2,0,positive
7,VIII.,0.0,0,0,0,0,0,neutral
8,IX.,10.0,0.6667,15,12,3,0,positive
9,XI.,13.0,0.9286,14,13,1,0,positive
10,XII.,2.0,0.3333,6,4,2,0,positive
11,XIII.,2.0,0.2,10,7,3,0,positive
12,XIV.,0.0,0,0,0,0,0,neutral
13,XV.,5.0,0.7143,7,5,2,0,positive
14,XVI.,3.0,0.75,4,3,1,0,positive
15,XVII.,13.0,1.0,13,12,1,0,positive
16,XVIII.,3.0,0.6,5,4,1,0,positive
17,XIX.,-3.0,-1.5,2,0,2,0,negative
18,XX.,3.0,1.0,3,3,0,0,positive
19,XXI.,-3.0,-0.6,5,2,3,0,negative
20,XXII.,-2.0,-1.0,2,0,2,0,negative
21,XXIII.,6.0,0.75,8,6,2,0,positive
22,XXIV.,14.0,1.4,10,9,1,0,positive
23,XXV.,6.0,0.4615,13,9,4,0,positive
24,I.,0.0,0,0,0,0,0,neutral
25,II.,4.0,0.3636,11,8,3,0,positive
26,III.,3.0,1.0,3,3,0,0,positive
27,IV.,10.0,1.25,8,7,1,0,positive
28,V.,1.0,1.0,1,1,0,0,positive
29,VI.,1.0,0.1667,6,4,2,0,positive
30,VII.,2.0,1.0,2,2,0,0,positive
31,VIII.,-4.0,-0.4444,9,3,6,0,negative
32,IX.,5.0,0.8333,6,5,1,0,positive
33,X.,-2.0,-0.2857,7,3,4,0,negative
34,XI.,1.0,0.25,4,3,1,0,positive
35,XII.,-1.0,-0.5,2,1,1,0,negative
36,XIII.,0.0,0.0,4,2,2,0,neutral
37,XIV.,1.0,0.5,2,1,1,0,positive
38,XV.,0.0,0.0,2,1,1,0,neutral
39,XVI.,0.0,0,0,0,0,0,neutral
40,XVII.,0.0,0.0,6,4,2,0,neutral
41,XVIII.,-1.0,-0.5,2,1,1,0,negative
42,XIX.,-7.0,-1.1667,6,1,5,0,negative
43,XX.,0.0,0.0,6,3,3,0,neutral
44,XXI.,2.0,0.3333,6,4,2,0,positive
45,I.,1.0,0.0909,11,7,4,0,neutral
46,II.,15.0,1.0714,14,13,1,0,positive
47,III.,9.0,0.8182,11,9,2,0,positive
48,IV.,10.0,1.1111,9,8,1,0,positive
49,V.,8.0,0.6154,13,10,3,0,positive
50,VI.,9.0,1.0,9,8,1,0,positive
51,VII.,4.0,0.6667,6,5,1,0,positive
52,VIII.,4.0,0.4,10,6,4,0,positive
53,IX.,15.0,1.1538,13,12,1,0,positive
54,X.,-3.0,-0.6,5,1,4,0,negative
55,XI.,2.0,2.0,1,1,0,0,positive
56,XII.,6.0,0.6667,9,6,3,0,positive
57,XIII.,7.0,0.7,10,8,2,0,positive
58,XIV.,-2.0,-2.0,1,0,1,0,negative
59,XV.,2.0,1.0,2,2,0,0,positive
60,XVI.,-7.0,-1.4,5,0,5,0,negative
61,XVII.,0.0,0.0,5,3,2,0,neutral
62,XVIII.,2.0,0.5,4,3,1,0,positive
63,XIX.,21.0,0.3962,53,36,17,0,positive
