token,token_lower,count,rank,per_1k,chapter_0,chapter_1,chapter_2
и,и,4905,1,44.412,1628,1421,1856
в,в,2348,2,21.2598,752,700,896
не,не,1970,3,17.8373,666,516,788
он,он,1808,4,16.3704,523,539,746
на,на,1615,5,14.6229,529,515,571
с,с,1384,6,12.5314,490,409,485
что,что,1268,7,11.481,433,332,503
как,как,1073,8,9.7154,332,308,433
к,к,872,9,7.8955,281,270,321
я,я,861,10,7.7959,337,175,349
его,его,852,11,7.7144,272,256,324
то,то,781,12,7.0715,201,267,313
князь,князь,626,13,5.6681,230,173,223
но,но,600,14,5.4327,208,144,248
это,это,585,15,5.2968,179,124,282
она,она,568,16,5.1429,360,10,198
сказал,сказал,565,17,5.1158,191,215,159
было,было,500,18,4.5272,129,165,206
за,за,499,19,4.5182,180,152,167
так,так,488,20,4.4186,160,131,197
а,а,459,21,4.156,137,164,158
по,по,452,22,4.0926,126,159,167
всё,всё,425,23,3.8481,157,100,168
чтò,чтò,411,24,3.7214,128,158,125
из,из,404,25,3.658,134,153,117
ему,ему,390,26,3.5312,104,116,170
от,от,384,27,3.4769,99,141,144
вы,вы,369,28,3.3411,118,108,143
был,был,367,29,3.323,111,107,149
же,же,366,30,3.3139,123,107,136
ее,ее,357,31,3.2324,184,17,156
у,у,329,32,2.9789,144,79,106
бы,бы,322,33,2.9155,85,83,154
о,о,322,34,2.9155,90,64,168
только,только,301,35,2.7254,107,70,124
андрей,андрей,296,36,2.6801,95,120,81
еще,еще,292,37,2.6439,104,77,111
мне,мне,232,38,2.1006,110,31,91
ростов,ростов,232,39,2.1006,4,94,134
ты,ты,229,40,2.0735,119,54,56
все,все,228,41,2.0644,94,47,87
да,да,217,42,1.9648,66,64,87
для,для,216,43,1.9558,76,37,103
de,de,214,44,1.9377,144,38,32
него,него,214,45,1.9377,71,65,78
пьер,пьер,213,46,1.9286,158,0,55
уже,уже,206,47,1.8652,57,58,91
была,была,205,48,1.8562,75,54,76
они,они,200,49,1.8109,65,80,55
себя,себя,199,50,1.8018,57,43,99
сказала,сказала,197,51,1.7837,157,0,40
когда,когда,196,52,1.7747,67,40,89
говорил,говорил,191,53,1.7294,64,61,66
теперь,теперь,185,54,1.6751,58,45,82
очень,очень,185,55,1.6751,77,30,78
ну,ну,182,56,1.6479,67,57,58
вот,вот,182,57,1.6479,67,46,69
vous,vous,179,58,1.6207,127,19,33
быть,быть,175,59,1.5845,40,37,98
будто,будто,175,60,1.5845,63,65,47
ни,ни,174,61,1.5755,59,39,76
их,их,173,62,1.5664,49,49,75
были,были,172,63,1.5574,48,64,60
время,время,170,64,1.5393,55,44,71
нет,нет,169,65,1.5302,46,41,82
меня,меня,165,66,1.494,65,37,63
который,который,162,67,1.4668,52,47,63
ничего,ничего,161,68,1.4578,56,40,65
чтобы,чтобы,160,69,1.4487,61,42,57
до,до,158,70,1.4306,44,46,68
или,или,157,71,1.4215,49,36,72
князя,князя,155,72,1.4034,57,37,61
этого,этого,155,73,1.4034,43,31,81
анна,анна,153,74,1.3853,123,0,30
того,того,150,75,1.3582,46,36,68
опять,опять,150,76,1.3582,69,38,43
вас,вас,146,77,1.3219,46,35,65
княжна,княжна,141,78,1.2767,90,0,51
всех,всех,140,79,1.2676,40,46,54
под,под,139,80,1.2586,29,62,48
глаза,глаза,137,81,1.2405,44,42,51
будет,будет,136,82,1.2314,50,26,60
чем,чем,136,83,1.2314,42,32,62
лицо,лицо,136,84,1.2314,65,36,35
que,que,134,85,1.2133,98,13,23
ли,ли,134,86,1.2133,42,37,55
этот,этот,129,87,1.168,40,33,56
себе,себе,129,88,1.168,39,24,66
et,et,128,89,1.159,101,11,16
ежели,ежели,127,90,1.1499,48,32,47
тем,тем,127,91,1.1499,41,33,53
том,том,126,92,1.1409,35,28,63
вам,вам,126,93,1.1409,39,37,50
где,где,126,94,1.1409,35,47,44
мы,мы,122,95,1.1046,38,26,58
при,при,121,96,1.0956,30,35,56
василий,василий,120,97,1.0865,57,0,63
est,est,118,98,1.0684,75,20,23
je,je,115,99,1.0413,94,5,16
мой,мой,113,100,1.0232,29,14,70
один,один,112,101,1.0141,28,38,46
la,la,111,102,1.005,89,9,13
которые,которые,111,103,1.005,32,32,47
дело,дело,111,104,1.005,26,31,54
le,le,110,105,0.996,77,21,12
во,во,109,106,0.9869,35,36,38
руку,руку,108,107,0.9779,56,22,30
