name,name_lower,chapter_idx,count
Adorable,adorable,0,1
Alexandre,alexandre,0,1
Aliment,aliment,0,1
Allemands,allemands,0,1
Alors,alors,0,1
Am,am,0,1
Andr,andr,0,7
Apr,apr,0,1
Arbres,arbres,0,1
Austerlitz,austerlitz,0,2
Autriche,autriche,0,2
Benigsen,benigsen,0,3
Bonaparte,bonaparte,0,3
Boukshevden,boukshevden,0,9
Bour,bour,0,1
Bourienne,bourienne,0,23
Bref,bref,0,2
Buonaparte,buonaparte,0,1
Caulaincourt,caulaincourt,0,1
Certains,certains,0,1
Ch,ch,0,1
Charm,charm,0,1
Code Napol,code napol,0,1
Comoneno,comoneno,0,1
Courage,courage,0,1
Das,das,0,1
Dieu,dieu,0,2
Dolochoff,dolochoff,0,1
Duport,duport,0,4
Eh,eh,0,1
Encore,encore,0,1
Fr,fr,0,1
Fran,fran,0,1
France,france,0,1
George Dandin,george dandin,0,1
Georges,georges,0,11
Glogau,glogau,0,1
Gomme,gomme,0,1
Hand,hand,0,1
Hippolyte,hippolyte,0,1
Julie,julie,0,3
Justiniani,justiniani,0,1
Kamensky,kamensky,0,1
Kopenhague,kopenhague,0,1
Kroug,kroug,0,1
Ligne,ligne,0,1
Mann,mann,0,1
Mansfeld,mansfeld,0,1
Mardi,mardi,0,1
Marie,marie,0,2
Maтреши,maтреш,0,1
Montesquieu,montesquieu,0,1
Mortemart,mortemart,0,3
Moscou,moscou,0,1
Napol,napol,0,2
Nathalie,nathalie,0,2
Nicolas,nicolas,0,10
Nocturne,nocturne,0,1
Non,non,0,3
Oh,oh,0,4
Oldenbourg,oldenbourg,0,1
Pendant,pendant,0,1
Persan,persan,0,1
Pierre,pierre,0,2
Potsdam,potsdam,0,1
Poultousk,poultousk,0,3
Prosorofsky,prosorofsky,0,1
Prusse,prusse,0,9
Prussiens,prussiens,0,3
Puiss,puiss,0,1
Russie,russie,0,1
Schoss,schoss,0,4
Schwarzenberg,schwarzenberg,0,1
Shittoff,shittoff,0,1
Sire,sire,0,1
Sophie,sophie,0,2
Souvoroff,souvoroff,0,1
Suza,suza,0,1
Toi,toi,0,1
Tranquillisez,tranquillisez,0,1
Tu,tu,0,1
Urope,urope,0,3
Venez,venez,0,3
Vienne,vienne,0,3
Vive,vive,0,1
Voil,voil,0,1
