token,count,rank,per_1k
его,1082,1,11.7788
было,735,2,8.0013
сказал,528,3,5.7479
от,512,4,5.5737
а,470,5,5.1165
ему,461,6,5.0185
был,437,7,4.7572
пьер,432,8,4.7028
только,424,9,4.6157
для,397,10,4.3218
ее,361,11,3.9299
чтò,338,12,3.6795
еще,318,13,3.4618
были,298,14,3.2441
того,291,15,3.1679
князь,283,16,3.0808
него,255,17,2.776
ни,241,18,2.6236
чтобы,232,19,2.5256
теперь,232,20,2.5256
их,225,21,2.4494
была,225,22,2.4494
под,216,23,2.3514
которые,207,24,2.2534
себя,203,25,2.2099
или,200,26,2.1772
de,195,27,2.1228
наполеон,194,28,2.1119
время,194,29,2.1119
до,191,30,2.0793
уже,186,31,2.0248
андрей,185,32,2.0139
быть,184,33,2.003
потому,181,34,1.9704
который,172,35,1.8724
себе,165,36,1.7962
во,163,37,1.7744
тем,162,38,1.7636
опять,162,39,1.7636
всех,161,40,1.7527
граф,157,41,1.7091
один,156,42,1.6982
ежели,155,43,1.6874
ей,154,44,1.6765
мне,151,45,1.6438
говорил,150,46,1.6329
человек,140,47,1.5241
после,140,48,1.5241
людей,139,49,1.5132
меня,139,50,1.5132
ним,138,51,1.5023
чем,137,52,1.4914
ничего,137,53,1.4914
вдруг,137,54,1.4914
будет,136,55,1.4805
княжна,135,56,1.4696
пьера,135,57,1.4696
другой,127,58,1.3825
им,126,59,1.3717
наташа,125,60,1.3608
несколько,123,61,1.339
надо,122,62,1.3281
мог,122,63,1.3281
сражения,122,64,1.3281
день,120,65,1.3063
люди,119,66,1.2954
дело,119,67,1.2954
своей,118,68,1.2846
марья,118,69,1.2846
la,117,70,1.2737
vous,117,71,1.2737
более,115,72,1.2519
своего,114,73,1.241
го,113,74,1.2301
лицо,113,75,1.2301
кутузов,113,76,1.2301
раз,112,77,1.2192
офицер,111,78,1.2084
князя,111,79,1.2084
сказала,109,80,1.1866
чтоб,107,81,1.1648
есть,106,82,1.1539
которое,105,83,1.143
à,103,84,1.1213
армии,103,85,1.1213
войска,102,86,1.1104
государь,102,87,1.1104
которой,101,88,1.0995
свою,99,89,1.0777
человека,99,90,1.0777
алпатыч,99,91,1.0777
этих,98,92,1.0668
знал,98,93,1.0668
будто,96,94,1.0451
которого,95,95,1.0342
наполеона,95,96,1.0342
больше,95,97,1.0342
может,95,98,1.0342
этом,95,99,1.0342
этой,94,100,1.0233
между,93,101,1.0124
без,92,102,1.0015
жизни,92,103,1.0015
всегда,92,104,1.0015
москвы,92,105,1.0015
со,91,106,0.9906
через,91,107,0.9906
думал,89,108,0.9689
je,87,109,0.9471
глаза,86,110,0.9362
назад,85,111,0.9253
тому,85,112,0.9253
над,85,113,0.9253
хотя,85,114,0.9253
нее,84,115,0.9144
перед,84,116,0.9144
солдат,83,117,0.9035
говорили,83,118,0.9035
них,83,119,0.9035
ростов,83,120,0.9035
слова,82,121,0.8927
вперед,82,122,0.8927
котором,82,123,0.8927
le,81,124,0.8818
свои,81,125,0.8818
государя,81,126,0.8818
et,81,127,0.8818
чего,81,128,0.8818
казалось,80,129,0.8709
нибудь,80,130,0.8709
москве,80,131,0.8709
тут,80,132,0.8709
два,79,133,0.86
москву,77,134,0.8382
очевидно,76,135,0.8273
голову,76,136,0.8273
андрея,76,137,0.8273
est,75,138,0.8165
адъютант,75,139,0.8165
чтó,75,140,0.8165
даже,74,141,0.8056
стал,74,142,0.8056
руку,74,143,0.8056
вместе,73,144,0.7947
там,73,145,0.7947
войны,72,146,0.7838
les,72,147,0.7838
своих,72,148,0.7838
глядя,72,149,0.7838
видел,72,150,0.7838
тогда,72,151,0.7838
ней,72,152,0.7838
хотел,72,153,0.7838
тех,71,154,0.7729
говорить,71,155,0.7729
которых,70,156,0.762
всего,70,157,0.762
несмотря,70,158,0.762
которую,70,159,0.762
одно,70,160,0.762
можно,69,161,0.7511
прежде,69,162,0.7511
свое,69,163,0.7511
головой,69,164,0.7511
пьеру,69,165,0.7511
нельзя,68,166,0.7403
генерал,68,167,0.7403
сражение,68,168,0.7403
которая,66,169,0.7185
вышел,66,170,0.7185
графиня,66,171,0.7185
растопчин,66,172,0.7185
лица,65,173,0.7076
que,65,174,0.7076
нужно,65,175,0.7076
ваше,65,176,0.7076
всем,64,177,0.6967
нему,64,178,0.6967
сказать,64,179,0.6967
французов,64,180,0.6967
отвечал,63,181,0.6858
эту,62,182,0.6749
стояли,62,183,0.6749
