name,name_lower,chapter_idx,count
Абат,абат,0,1
Амвросий,амвросий,0,1
Булатов,булат,0,1
Бурбон,бурбон,0,1
Василий Семи,василий сем,0,1
Вашей,ваш,0,1
Ваших,ваших,0,1
Герасимов,герасим,0,4
Герасимовым,герасимовым,0,1
Говорят,говорят,0,1
Давно,давно,0,1
Дочь,дочь,0,1
Ивана,иван,0,2
Иоакимом Шостаком,иоаким шостак,0,1
Маиора,маиор,0,2
Матушка,матушк,0,1
Молодеж,молодеж,0,1
Наташенька,наташеньк,0,1
Нечистоты,нечистот,0,1
Обычай,обычай,0,1
Откроем,откро,0,1
Отчего,отчего,0,1
Позвольте,позвольт,0,1
Польском,польск,0,1
Предводителя Дворянства,предводител дворянств,0,1
Рубль,рубль,0,1
Санкт-Петербурга,санкт-петербург,0,1
Село Блины,село блин,0,1
Съедены,съеден,0,1
Трофим,трофим,0,1
Ужасно,ужасно,0,1
Цыганы,цыган,0,2
Через,через,0,1
