source,source_lower,target,target_lower,weight,context_level,chapters,num_chapters
Ивана,иван,Маиора,маиор,2,sentence,0,1
Село Блины,село блин,Съедены,съеден,1,sentence,0,1
Вашей,ваш,Герасимов,герасим,1,sentence,0,1
Ваших,ваших,Герасимовым,герасимовым,1,sentence,0,1
Амвросий,амвросий,Польском,польск,1,sentence,0,1
Иоакимом Шостаком,иоаким шостак,Польском,польск,1,sentence,0,1
Ивана,иван,Польском,польск,1,sentence,0,1
Маиора,маиор,Польском,польск,1,sentence,0,1
Амвросий,амвросий,Иоакимом Шостаком,иоаким шостак,1,sentence,0,1
Амвросий,амвросий,Ивана,иван,1,sentence,0,1
Амвросий,амвросий,Маиора,маиор,1,sentence,0,1
Ивана,иван,Иоакимом Шостаком,иоаким шостак,1,sentence,0,1
Иоакимом Шостаком,иоаким шостак,Маиора,маиор,1,sentence,0,1
Бурбон,бурбон,Ивана,иван,1,sentence,0,1
Бурбон,бурбон,Маиора,маиор,1,sentence,0,1
Булатов,булат,Василий Семи,василий сем,1,sentence,0,1
