token,count,rank,per_1k
и,78,1,59.2705
не,32,2,24.3161
что,26,3,19.7568
на,22,4,16.7173
в,20,5,15.1976
бы,17,6,12.9179
я,16,7,12.1581
а,15,8,11.3982
вы,14,9,10.6383
с,14,10,10.6383
по,12,11,9.1185
если,12,12,9.1185
меня,11,13,8.3587
то,10,14,7.5988
как,9,15,6.8389
потому,8,16,6.079
от,8,17,6.079
у,8,18,6.079
мы,8,19,6.079
т,7,20,5.3191
этого,7,21,5.3191
солнце,7,22,5.3191
за,6,23,4.5593
вас,6,24,4.5593
из,6,25,4.5593
е,6,26,4.5593
для,6,27,4.5593
вам,6,28,4.5593
луне,6,29,4.5593
люди,6,30,4.5593
извените,5,31,3.7994
все,5,32,3.7994
мой,5,33,3.7994
касательно,5,34,3.7994
мне,5,35,3.7994
еще,4,36,3.0395
людей,4,37,3.0395
мира,4,38,3.0395
видимого,4,39,3.0395
герасимов,4,40,3.0395
идеи,4,41,3.0395
но,4,42,3.0395
может,4,43,3.0395
быть,4,44,3.0395
приежжайте,4,45,3.0395
простите,3,46,2.2796
своим,3,47,2.2796
изволили,3,48,2.2796
хотя,3,49,2.2796
вами,3,50,2.2796
к,3,51,2.2796
много,3,52,2.2796
ваши,3,53,2.2796
только,3,54,2.2796
которую,3,55,2.2796
человек,3,56,2.2796
могу,3,57,2.2796
теперь,3,58,2.2796
разве,3,59,2.2796
об,3,60,2.2796
которые,3,61,2.2796
без,3,62,2.2796
могут,3,63,2.2796
жить,3,64,2.2796
она,3,65,2.2796
пятны,3,66,2.2796
его,3,67,2.2796
открытий,3,68,2.2796
открыл,3,69,2.2796
нами,3,70,2.2796
дорогой,2,71,1.5198
соседушка,2,72,1.5198
нелепую,2,73,1.5198
вот,2,74,1.5198
год,2,75,1.5198
со,2,76,1.5198
посредством,2,77,1.5198
познакомиться,2,78,1.5198
наш,2,79,1.5198
материк,2,80,1.5198
наука,2,81,1.5198
наша,2,82,1.5198
всем,2,83,1.5198
невидимого,2,84,1.5198
других,2,85,1.5198
себя,2,86,1.5198
свои,2,87,1.5198
умные,2,88,1.5198
наук,2,89,1.5198
книг,2,90,1.5198
напечатали,2,91,1.5198
во,2,92,1.5198
время,2,93,1.5198
недавно,2,94,1.5198
мои,2,95,1.5198
сосед,2,96,1.5198
согласен,2,97,1.5198
наукой,2,98,1.5198
таки,2,99,1.5198
сообщил,2,100,1.5198
будто,2,101,1.5198
сочинили,2,102,1.5198
их,2,103,1.5198
ибо,2,104,1.5198
обезьяны,2,105,1.5198
был,2,106,1.5198
дикий,2,107,1.5198
происходили,2,108,1.5198
